Cat_Code,SBAOfficeCode_cat,ProcessingMethod_cat,LoanStatus_cat,Term_cat,ServicingLenderName_cat,RuralUrbanIndicator_cat,HubzoneIndicator_cat,LMIIndicator_cat,BusinessAgeDescription_cat,CD_cat,Race_cat,Ethnicity_cat,BusinessType_cat,OriginatingLender_cat,Gender_cat,Veteran_cat,NonProfit_cat,NAICSCode_2digits_cat,Verified_Address_cat,CaseLabel_cat
0,101.0,PPP,Charged Off,0.0,"	Farm Credit Services of Western Arkansas, ACA",R,N,N,Change of Ownership,AE-,American Indian or Alaska Native,Hispanic or Latino,"501(c) – Non Profit except 3,4,6,","	Farm Credit Services of Western Arkansas, ACA",Female Owned,Non-Veteran,N,11,0.0,False
1,130.0,PPS,Exemption 4,1.0,"	Farm Credit of Western Oklahoma, ACA",U,Y,Y,Existing or more than 2 years old,AK-,Asian,Not Hispanic or Latino,501(c)19 – Non Profit Veterans,"	Farm Credit of Western Oklahoma, ACA",Male Owned,Unanswered,Y,21,1.0,True
2,150.0,,Paid in Full,2.0,"	Yankee Farm Credit, ACA",,,,New Business or 2 years or less,AL-01,Black or African American,Unknown/NotStated,501(c)3 – Non Profit,"	Yankee Farm Credit, ACA",Unanswered,Veteran,,22,,
3,156.0,,,3.0,121 Financial Credit Union,,,,"Startup, Loan Funds will Open Business",AL-02,Eskimo & Aleut,,501(c)6 – Non Profit Membership,121 Financial Credit Union,,,,23,,
4,165.0,,,4.0,1st Advantage Bank,,,,Unanswered,AL-03,Multi Group,,Cooperative,1st Advantage Bank,,,,31,,
5,172.0,,,5.0,1st Advantage FCU,,,,,AL-04,Native Hawaiian or Other Pacific Islander,,Corporation,1st Advantage FCU,,,,32,,
6,189.0,,,6.0,1st Bank Yuma,,,,,AL-05,Puerto Rican,,Employee Stock Ownership Plan(ESOP),1st Bank Yuma,,,,33,,
7,202.0,,,7.0,1st Bank in Hominy,,,,,AL-06,Unanswered,,Housing Co-op,1st Bank in Hominy,,,,42,,
8,206.0,,,8.0,1st Bank of Sea Isle City,,,,,AL-07,White,,Independent Contractors,1st Bank of Sea Isle City,,,,44,,
9,219.0,,,9.0,1st Bergen FCU,,,,,AP-,,,Joint Venture,1st Bergen FCU,,,,45,,
10,235.0,,,10.0,1st Capital Bank,,,,,AR-01,,,Limited  Liability Company(LLC),1st Capital Bank,,,,48,,
11,248.0,,,11.0,1st Choice CU,,,,,AR-02,,,Limited Liability Partnership,1st Choice CU,,,,49,,
12,252.0,,,12.0,1st Colonial Community Bank,,,,,AR-03,,,Non-Profit Childcare Center,1st Colonial Community Bank,,,,51,,
13,296.0,,,13.0,1st Community Bank,,,,,AR-04,,,Non-Profit Organization,1st Community Bank,,,,52,,
14,299.0,,,14.0,1st Community CU,,,,,AS-,,,Not Listed,1st Community CU,,,,53,,
15,303.0,,,15.0,1st Community FCU,,,,,AZ-01,,,Partnership,1st Community FCU,,,,54,,
16,304.0,,,16.0,1st Equity Bank,,,,,AZ-02,,,Professional Association,1st Equity Bank,,,,55,,
17,341.0,,,17.0,1st Financial Bank USA,,,,,AZ-03,,,Qualified Joint-Venture (spouses),1st Financial Bank USA,,,,56,,
18,353.0,,,18.0,1st Liberty FCU,,,,,AZ-04,,,Rollover as Business Start-Ups (ROB,1st Liberty FCU,,,,61,,
19,358.0,,,19.0,1st MidAmerica CU,,,,,AZ-05,,,Self-Employed Individuals,1st MidAmerica CU,,,,62,,
20,373.0,,,20.0,1st Mississippi FCU,,,,,AZ-06,,,Single Member LLC,1st Mississippi FCU,,,,71,,
21,390.0,,,21.0,1st National Bank,,,,,AZ-07,,,Sole Proprietorship,1st National Bank,,,,72,,
22,405.0,,,22.0,1st Security Bank of Washington,,,,,AZ-08,,,Subchapter S Corporation,1st Security Bank of Washington,,,,81,,
23,455.0,,,23.0,1st Source Bank,,,,,AZ-09,,,Tenant in Common,1st Source Bank,,,,92,,
24,457.0,,,24.0,1st State Bank,,,,,CA-,,,Tribal Concerns,1st State Bank,,,,99,,
25,459.0,,,25.0,1st Summit Bank,,,,,CA-01,,,Trust,1st Summit Bank,,,,11,,
26,460.0,,,26.0,"1st Trust Bank, Inc.",,,,,CA-02,,,,"1st Trust Bank, Inc.",,,,21,,
27,464.0,,,27.0,1st United Bank,,,,,CA-03,,,,1st United Bank,,,,22,,
28,470.0,,,28.0,21st Century Bank,,,,,CA-04,,,,21st Century Bank,,,,23,,
29,474.0,,,29.0,22nd State Bank,,,,,CA-05,,,,22nd State Bank,,,,31,,
30,491.0,,,30.0,360 FCU,,,,,CA-06,,,,360 FCU,,,,32,,
31,507.0,,,31.0,4Front Credit Union,,,,,CA-07,,,,4Front Credit Union,,,,33,,
32,508.0,,,32.0,5Star Bank,,,,,CA-08,,,,5Star Bank,,,,42,,
33,515.0,,,33.0,705 FCU,,,,,CA-09,,,,705 FCU,,,,44,,
34,549.0,,,34.0,A N E C A FCU,,,,,CA-10,,,,A N E C A FCU,,,,45,,
35,562.0,,,35.0,A O D FCU,,,,,CA-11,,,,A O D FCU,,,,48,,
36,563.0,,,36.0,A+ FCU,,,,,CA-12,,,,A+ FCU,,,,49,,
37,593.0,,,37.0,"A10Capital, LLC",,,,,CA-13,,,,"A10Capital, LLC",,,,51,,
38,610.0,,,38.0,AB&T,,,,,CA-14,,,,AB&T,,,,52,,
39,639.0,,,39.0,ABNB FCU,,,,,CA-15,,,,ABNB FCU,,,,53,,
40,669.0,,,40.0,ACB Bank,,,,,CA-16,,,,ACB Bank,,,,54,,
41,671.0,,,41.0,ACMG FCU,,,,,CA-17,,,,ACMG FCU,,,,55,,
42,677.0,,,42.0,ACNB Bank,,,,,CA-18,,,,ACNB Bank,,,,56,,
43,678.0,,,43.0,ACT 1st FCU,,,,,CA-19,,,,ACT 1st FCU,,,,61,,
44,679.0,,,44.0,AEA FCU,,,,,CA-20,,,,AEA FCU,,,,62,,
45,680.0,,,45.0,AG CREDIT ACA,,,,,CA-21,,,,AG CREDIT ACA,,,,71,,
46,681.0,,,46.0,AMG National Trust Bank,,,,,CA-22,,,,AMG National Trust Bank,,,,72,,
47,682.0,,,47.0,"AMPAC Tri-State CDC, Inc.",,,,,CA-23,,,,"AMPAC Tri-State CDC, Inc.",,,,81,,
48,709.0,,,48.0,ANB Bank,,,,,CA-24,,,,ANB Bank,,,,92,,
49,721.0,,,49.0,"ANZ Guam, Inc",,,,,CA-25,,,,"ANZ Guam, Inc",,,,99,,
50,736.0,,,50.0,ARC FCU,,,,,CA-26,,,,ARC FCU,,,,na,,
51,761.0,,,51.0,AVB Bank,,,,,CA-27,,,,AVB Bank,,,,,,
52,766.0,,,52.0,Abacus Federal Savings Bank,,,,,CA-28,,,,Abacus Federal Savings Bank,,,,,,
53,767.0,,,53.0,Abanca Corporation,,,,,CA-29,,,,Abanca Corporation,,,,,,
54,768.0,,,54.0,"Abbeville First Bank, SSB",,,,,CA-30,,,,"Abbeville First Bank, SSB",,,,,,
55,811.0,,,55.0,Abbey CU Inc,,,,,CA-31,,,,Abbey CU Inc,,,,,,
56,875.0,,,56.0,AbbyBank,,,,,CA-32,,,,AbbyBank,,,,,,
57,876.0,,,57.0,Abington Bank,,,,,CA-33,,,,Abington Bank,,,,,,
58,883.0,,,58.0,"Academy Bank, National Association",,,,,CA-34,,,,"Academy Bank, National Association",,,,,,
59,885.0,,,59.0,Acadia FCU,,,,,CA-35,,,,Acadia FCU,,,,,,
60,897.0,,,60.0,Access Bank,,,,,CA-36,,,,Access Bank,,,,,,
61,912.0,,,61.0,Access CU,,,,,CA-37,,,,Access CU,,,,,,
62,914.0,,,62.0,Access FCU,,,,,CA-38,,,,Access FCU,,,,,,
63,920.0,,,63.0,Access to Capital for Entrepreneurs,,,,,CA-39,,,,Access to Capital for Entrepreneurs,,,,,,
64,931.0,,,64.0,Accompany Capital,,,,,CA-40,,,,Accompany Capital,,,,,,
65,942.0,,,65.0,Achieva CU,,,,,CA-41,,,,Achieva CU,,,,,,
66,944.0,,,66.0,Adams Bank & Trust,,,,,CA-42,,,,Adams Bank & Trust,,,,,,
67,951.0,,,67.0,Adams Community Bank,,,,,CA-43,,,,Adams Community Bank,,,,,,
68,954.0,,,68.0,Adams County Bank,,,,,CA-44,,,,Adams County Bank,,,,,,
69,988.0,,,69.0,Adams State Bank,,,,,CA-45,,,,Adams State Bank,,,,,,
70,1013.0,,,70.0,Addition Financial CU,,,,,CA-46,,,,Addition Financial CU,,,,,,
71,1084.0,,,71.0,Adirondack Bank,,,,,CA-47,,,,Adirondack Bank,,,,,,
72,1086.0,,,72.0,Adirondack Regional FCU,,,,,CA-48,,,,Adirondack Regional FCU,,,,,,
73,1087.0,,,73.0,Adrian Bank,,,,,CA-49,,,,Adrian Bank,,,,,,
74,1094.0,,,74.0,Adrian State Bank,,,,,CA-50,,,,Adrian State Bank,,,,,,
75,9030.0,,,75.0,AdventHealth CU,,,,,CA-51,,,,AdventHealth CU,,,,,,
76,,,,76.0,Adventure CU,,,,,CA-52,,,,Adventure CU,,,,,,
77,,,,77.0,Advia Credit Union,,,,,CA-53,,,,Advia Credit Union,,,,,,
78,,,,78.0,Affinity Bank,,,,,CO-01,,,,Affinity Bank,,,,,,
79,,,,79.0,Affinity FCU,,,,,CO-02,,,,Affinity FCU,,,,,,
80,,,,80.0,Affinity First FCU,,,,,CO-03,,,,Affinity First FCU,,,,,,
81,,,,81.0,Affinity Plus FCU,,,,,CO-04,,,,Affinity Plus FCU,,,,,,
82,,,,82.0,African Development Center,,,,,CO-05,,,,African Development Center,,,,,,
83,,,,83.0,"AgCarolina Farm Credit, ACA",,,,,CO-06,,,,"AgCarolina Farm Credit, ACA",,,,,,
84,,,,84.0,AgChoice ACA,,,,,CO-07,,,,AgChoice ACA,,,,,,
85,,,,85.0,"AgCountry Farm Credit Service, PCA",,,,,CO-08,,,,"AgCountry Farm Credit Service, PCA",,,,,,
86,,,,86.0,"AgGeorgia Farm Credit, ACA",,,,,CT-01,,,,"AgGeorgia Farm Credit, ACA",,,,,,
87,,,,87.0,"AgHeritage Farm Credit Services, ACA",,,,,CT-02,,,,"AgHeritage Farm Credit Services, ACA",,,,,,
88,,,,88.0,"AgSouth Farm Credit, ACA",,,,,CT-03,,,,"AgSouth Farm Credit, ACA",,,,,,
89,,,,89.0,AgTexas Farm Credit Services,,,,,CT-04,,,,AgTexas Farm Credit Services,,,,,,
90,,,,90.0,Agrow Credit Corporation,,,,,CT-05,,,,Agrow Credit Corporation,,,,,,
91,,,,91.0,Air Academy FCU,,,,,DC-,,,,Air Academy FCU,,,,,,
92,,,,92.0,Air Force FCU,,,,,DE-,,,,Air Force FCU,,,,,,
93,,,,93.0,AlaTrust CU,,,,,DE-01,,,,AlaTrust CU,,,,,,
94,,,,94.0,Alabama CU,,,,,FL-,,,,Alabama CU,,,,,,
95,,,,95.0,Alabama Central CU,,,,,FL-01,,,,Alabama Central CU,,,,,,
96,,,,96.0,Alabama One CU,,,,,FL-02,,,,Alabama One CU,,,,,,
97,,,,97.0,Alabama Teachers CU,,,,,FL-03,,,,Alabama Teachers CU,,,,,,
98,,,,98.0,Alamerica Bank,,,,,FL-04,,,,Alamerica Bank,,,,,,
99,,,,99.0,Alamosa State Bank,,,,,FL-05,,,,Alamosa State Bank,,,,,,
100,,,,100.0,"Albany Bank and Trust Company, National Association",,,,,FL-06,,,,"Albany Bank and Trust Company, National Association",,,,,,
101,,,,101.0,Alcoa Pittsburgh FCU,,,,,FL-07,,,,Alcoa Pittsburgh FCU,,,,,,
102,,,,102.0,Alden State Bank,,,,,FL-08,,,,Alden State Bank,,,,,,
103,,,,103.0,"Alerus Financial, National Association",,,,,FL-09,,,,"Alerus Financial, National Association",,,,,,
104,,,,104.0,Algonquin State Bank,,,,,FL-10,,,,Algonquin State Bank,,,,,,
105,,,,105.0,All In FCU,,,,,FL-11,,,,All In FCU,,,,,,
106,,,,106.0,Allegacy FCU,,,,,FL-12,,,,Allegacy FCU,,,,,,
107,,,,107.0,Alliance Bank,,,,,FL-13,,,,Alliance Bank,,,,,,
108,,,,108.0,Alliance Bank & Trust Company,,,,,FL-14,,,,Alliance Bank & Trust Company,,,,,,
109,,,,109.0,Alliance Bank Central Texas,,,,,FL-15,,,,Alliance Bank Central Texas,,,,,,
110,,,,110.0,Alliance CU,,,,,FL-16,,,,Alliance CU,,,,,,
111,,,,111.0,Alliance Catholic CU,,,,,FL-17,,,,Alliance Catholic CU,,,,,,
112,,,,112.0,Alliance Community Bank,,,,,FL-18,,,,Alliance Community Bank,,,,,,
113,,,,113.0,Alliant Bank,,,,,FL-19,,,,Alliant Bank,,,,,,
114,,,,116.0,Allied First Bank,,,,,FL-20,,,,Allied First Bank,,,,,,
115,,,,117.0,Alloya Corporate FCU,,,,,FL-21,,,,Alloya Corporate FCU,,,,,,
116,,,,118.0,Alltru FCU,,,,,FL-22,,,,Alltru FCU,,,,,,
117,,,,119.0,Ally Bank,,,,,FL-23,,,,Ally Bank,,,,,,
118,,,,120.0,Alma Bank,,,,,FL-24,,,,Alma Bank,,,,,,
119,,,,121.0,Alpine Bank,,,,,FL-25,,,,Alpine Bank,,,,,,
120,,,,128.0,Alpine Capital Bank,,,,,FL-26,,,,Alpine Capital Bank,,,,,,
121,,,,130.0,AltCap PPP Lending,,,,,FL-27,,,,AltCap PPP Lending,,,,,,
122,,,,141.0,Altamaha Bank & Trust Company,,,,,FL-28,,,,Altamaha Bank & Trust Company,,,,,,
123,,,,142.0,Altana FCU,,,,,GA-01,,,,Altana FCU,,,,,,
124,,,,144.0,Alternatives FCU,,,,,GA-02,,,,Alternatives FCU,,,,,,
125,,,,156.0,Altoona First Savings Bank,,,,,GA-03,,,,Altoona First Savings Bank,,,,,,
126,,,,172.0,Altra FCU,,,,,GA-04,,,,Altra FCU,,,,,,
127,,,,175.0,Alva State Bank & Trust Company,,,,,GA-05,,,,Alva State Bank & Trust Company,,,,,,
128,,,,178.0,Amalgamated Bank,,,,,GA-06,,,,Amalgamated Bank,,,,,,
129,,,,179.0,Amalgamated Bank of Chicago,,,,,GA-07,,,,Amalgamated Bank of Chicago,,,,,,
130,,,,180.0,Amarillo National Bank,,,,,GA-08,,,,Amarillo National Bank,,,,,,
131,,,,193.0,Ambler Savings Bank,,,,,GA-09,,,,Ambler Savings Bank,,,,,,
132,,,,199.0,Amboy Bank,,,,,GA-10,,,,Amboy Bank,,,,,,
133,,,,202.0,"Amerant Bank, National Association",,,,,GA-11,,,,"Amerant Bank, National Association",,,,,,
134,,,,203.0,Amerasia Bank,,,,,GA-12,,,,Amerasia Bank,,,,,,
135,,,,213.0,AmeriFirst Bank,,,,,GA-13,,,,AmeriFirst Bank,,,,,,
136,,,,,AmeriServ Financial Bank,,,,,GA-14,,,,AmeriServ Financial Bank,,,,,,
137,,,,,AmeriState Bank,,,,,GU-,,,,AmeriState Bank,,,,,,
138,,,,,America First FCU,,,,,HI-01,,,,America First FCU,,,,,,
139,,,,,America's CU,,,,,HI-02,,,,America's CU,,,,,,
140,,,,,America's Christian CU,,,,,IA-01,,,,America's Christian CU,,,,,,
141,,,,,America's Community Bank,,,,,IA-02,,,,America's Community Bank,,,,,,
142,,,,,"America's Credit Union, A FCU",,,,,IA-03,,,,"America's Credit Union, A FCU",,,,,,
143,,,,,America's First FCU,,,,,IA-04,,,,America's First FCU,,,,,,
144,,,,,American AgCredit ACA,,,,,ID-01,,,,American AgCredit ACA,,,,,,
145,,,,,American Bank,,,,,ID-02,,,,American Bank,,,,,,
146,,,,,American Bank & Trust,,,,,IL-01,,,,American Bank & Trust,,,,,,
147,,,,,American Bank & Trust Company,,,,,IL-02,,,,American Bank & Trust Company,,,,,,
148,,,,,"American Bank & Trust Company, Inc.",,,,,IL-03,,,,"American Bank & Trust Company, Inc.",,,,,,
149,,,,,American Bank and Trust Company,,,,,IL-04,,,,American Bank and Trust Company,,,,,,
150,,,,,"American Bank and Trust Company, National Association",,,,,IL-05,,,,"American Bank and Trust Company, National Association",,,,,,
151,,,,,American Bank of Baxter Springs,,,,,IL-06,,,,American Bank of Baxter Springs,,,,,,
152,,,,,American Bank of Beaver Dam,,,,,IL-07,,,,American Bank of Beaver Dam,,,,,,
153,,,,,American Bank of Commerce,,,,,IL-08,,,,American Bank of Commerce,,,,,,
154,,,,,American Bank of Missouri,,,,,IL-09,,,,American Bank of Missouri,,,,,,
155,,,,,American Bank of Oklahoma,,,,,IL-10,,,,American Bank of Oklahoma,,,,,,
156,,,,,American Bank of the Carolinas d/b/a American Bank,,,,,IL-11,,,,American Bank of the Carolinas d/b/a American Bank,,,,,,
157,,,,,"American Bank, National Association",,,,,IL-12,,,,"American Bank, National Association",,,,,,
158,,,,,American Business Bank,,,,,IL-13,,,,American Business Bank,,,,,,
159,,,,,"American Commerce Bank, National Association",,,,,IL-14,,,,"American Commerce Bank, National Association",,,,,,
160,,,,,"American Commercial Bank & Trust, National Association",,,,,IL-15,,,,"American Commercial Bank & Trust, National Association",,,,,,
161,,,,,American Community Bank,,,,,IL-16,,,,American Community Bank,,,,,,
162,,,,,American Community Bank & Trust,,,,,IL-17,,,,American Community Bank & Trust,,,,,,
163,,,,,American Community Bank of Indiana,,,,,IL-18,,,,American Community Bank of Indiana,,,,,,
164,,,,,American Continental Bank,,,,,IN-01,,,,American Continental Bank,,,,,,
165,,,,,American Eagle Bank,,,,,IN-02,,,,American Eagle Bank,,,,,,
166,,,,,American Exchange Bank,,,,,IN-03,,,,American Exchange Bank,,,,,,
167,,,,,"American Exchange Bank, Lindsay, Oklahoma",,,,,IN-04,,,,"American Exchange Bank, Lindsay, Oklahoma",,,,,,
168,,,,,American Express National Bank,,,,,IN-05,,,,American Express National Bank,,,,,,
169,,,,,American Federal Bank,,,,,IN-06,,,,American Federal Bank,,,,,,
170,,,,,American First CU,,,,,IN-07,,,,American First CU,,,,,,
171,,,,,American First National Bank,,,,,IN-08,,,,American First National Bank,,,,,,
172,,,,,American Heritage Bank,,,,,IN-09,,,,American Heritage Bank,,,,,,
173,,,,,American Heritage FCU,,,,,KS-01,,,,American Heritage FCU,,,,,,
174,,,,,American Heritage National Bank,,,,,KS-02,,,,American Heritage National Bank,,,,,,
175,,,,,American Lending Center,,,,,KS-03,,,,American Lending Center,,,,,,
176,,,,,American Metro Bank,,,,,KS-04,,,,American Metro Bank,,,,,,
177,,,,,American Momentum Bank,,,,,KY-01,,,,American Momentum Bank,,,,,,
178,,,,,American National Bank,,,,,KY-02,,,,American National Bank,,,,,,
179,,,,,American National Bank & Trust,,,,,KY-03,,,,American National Bank & Trust,,,,,,
180,,,,,American National Bank and Trust Company,,,,,KY-04,,,,American National Bank and Trust Company,,,,,,
181,,,,,American National Bank of Minnesota,,,,,KY-05,,,,American National Bank of Minnesota,,,,,,
182,,,,,American National Bank-Fox Cities,,,,,KY-06,,,,American National Bank-Fox Cities,,,,,,
183,,,,,American Partners FCU,,,,,LA-,,,,American Partners FCU,,,,,,
184,,,,,"American Plus Bank, National Association",,,,,LA-01,,,,"American Plus Bank, National Association",,,,,,
185,,,,,American Pride Bank,,,,,LA-02,,,,American Pride Bank,,,,,,
186,,,,,American Riviera Bank,,,,,LA-03,,,,American Riviera Bank,,,,,,
187,,,,,"American Savings Bank, FSB",,,,,LA-04,,,,"American Savings Bank, FSB",,,,,,
188,,,,,American Southwest CU,,,,,LA-05,,,,American Southwest CU,,,,,,
189,,,,,American Spirit FCU,,,,,LA-06,,,,American Spirit FCU,,,,,,
190,,,,,American State Bank,,,,,MA-01,,,,American State Bank,,,,,,
191,,,,,American State Bank & Trust Company of Williston,,,,,MA-02,,,,American State Bank & Trust Company of Williston,,,,,,
192,,,,,American State Bank of Grygla,,,,,MA-03,,,,American State Bank of Grygla,,,,,,
193,,,,,American Trust & Savings Bank,,,,,MA-04,,,,American Trust & Savings Bank,,,,,,
194,,,,,American United FCU,,,,,MA-05,,,,American United FCU,,,,,,
195,,,,,Americana Community Bank,,,,,MA-06,,,,Americana Community Bank,,,,,,
196,,,,,Americu CU,,,,,MA-07,,,,Americu CU,,,,,,
197,,,,,Ameris Bank,,,,,MA-08,,,,Ameris Bank,,,,,,
198,,,,,Amistad Bank,,,,,MA-09,,,,Amistad Bank,,,,,,
199,,,,,Amplify CU,,,,,MD-01,,,,Amplify CU,,,,,,
200,,,,,"Amur Equipment Finance, Inc.",,,,,MD-02,,,,"Amur Equipment Finance, Inc.",,,,,,
201,,,,,Anahuac National Bank,,,,,MD-03,,,,Anahuac National Bank,,,,,,
202,,,,,Anchor Bank,,,,,MD-04,,,,Anchor Bank,,,,,,
203,,,,,Anchor D Bank,,,,,MD-05,,,,Anchor D Bank,,,,,,
204,,,,,Anchor State Bank,,,,,MD-06,,,,Anchor State Bank,,,,,,
205,,,,,Anderson Brothers Bank,,,,,MD-07,,,,Anderson Brothers Bank,,,,,,
206,,,,,Anderson State Bank,,,,,MD-08,,,,Anderson State Bank,,,,,,
207,,,,,Andes State Bank,,,,,ME-01,,,,Andes State Bank,,,,,,
208,,,,,Andover State Bank,,,,,ME-02,,,,Andover State Bank,,,,,,
209,,,,,Andrew Johnson Bank,,,,,MI-,,,,Andrew Johnson Bank,,,,,,
210,,,,,Androscoggin Savings Bank,,,,,MI-01,,,,Androscoggin Savings Bank,,,,,,
211,,,,,Anna State Bank,,,,,MI-02,,,,Anna State Bank,,,,,,
212,,,,,Anna-Jonesboro National Bank,,,,,MI-03,,,,Anna-Jonesboro National Bank,,,,,,
213,,,,,Anstaff Bank,,,,,MI-04,,,,Anstaff Bank,,,,,,
214,,,,,Anthem Bank & Trust,,,,,MI-05,,,,Anthem Bank & Trust,,,,,,
215,,,,,Antioch Community FCU,,,,,MI-06,,,,Antioch Community FCU,,,,,,
216,,,,,Apex Bank,,,,,MI-07,,,,Apex Bank,,,,,,
217,,,,,Apple River State Bank,,,,,MI-08,,,,Apple River State Bank,,,,,,
218,,,,,Applied Bank,,,,,MI-09,,,,Applied Bank,,,,,,
219,,,,,Arbor Bank,,,,,MI-10,,,,Arbor Bank,,,,,,
220,,,,,Arbor Financial CU,,,,,MI-11,,,,Arbor Financial CU,,,,,,
221,,,,,"ArborOne, ACA",,,,,MI-12,,,,"ArborOne, ACA",,,,,,
222,,,,,Arcadian Bank,,,,,MI-13,,,,Arcadian Bank,,,,,,
223,,,,,Arcata Economic Development Corporation,,,,,MI-14,,,,Arcata Economic Development Corporation,,,,,,
224,,,,,Archer Cooperative CU,,,,,MN-01,,,,Archer Cooperative CU,,,,,,
225,,,,,Archer Heights CU,,,,,MN-02,,,,Archer Heights CU,,,,,,
226,,,,,Arcola First Bank,,,,,MN-03,,,,Arcola First Bank,,,,,,
227,,,,,Area FCU,,,,,MN-04,,,,Area FCU,,,,,,
228,,,,,Arize FCU,,,,,MN-05,,,,Arize FCU,,,,,,
229,,,,,Arizona Central CU,,,,,MN-06,,,,Arizona Central CU,,,,,,
230,,,,,Arizona Financial Credit Union,,,,,MN-07,,,,Arizona Financial Credit Union,,,,,,
231,,,,,Arkansas Capital Corporation,,,,,MN-08,,,,Arkansas Capital Corporation,,,,,,
232,,,,,Arkansas FCU,,,,,MO-01,,,,Arkansas FCU,,,,,,
233,,,,,Arlington Community FCU,,,,,MO-02,,,,Arlington Community FCU,,,,,,
234,,,,,Arlington State Bank,,,,,MO-03,,,,Arlington State Bank,,,,,,
235,,,,,Armor Bank,,,,,MO-04,,,,Armor Bank,,,,,,
236,,,,,Armstrong Bank,,,,,MO-05,,,,Armstrong Bank,,,,,,
237,,,,,Aroostook County Federal Savings & Loan Association,,,,,MO-06,,,,Aroostook County Federal Savings & Loan Association,,,,,,
238,,,,,Arrha CU,,,,,MO-07,,,,Arrha CU,,,,,,
239,,,,,Arsenal CU,,,,,MO-08,,,,Arsenal CU,,,,,,
240,,,,,Arthur State Bank,,,,,MP-,,,,Arthur State Bank,,,,,,
241,,,,,Arundel Federal Savings Bank,,,,,MS-01,,,,Arundel Federal Savings Bank,,,,,,
242,,,,,Arvest Bank,,,,,MS-02,,,,Arvest Bank,,,,,,
243,,,,,Ascendus,,,,,MS-03,,,,Ascend FCU,,,,,,
244,,,,,Ascent Bank,,,,,MS-04,,,,Ascendus,,,,,,
245,,,,,Ascentra CU,,,,,MT-,,,,Ascent Bank,,,,,,
246,,,,,Ashton State Bank,,,,,MT-01,,,,Ascentra CU,,,,,,
247,,,,,Asian Bank,,,,,MT-02,,,,Ashton State Bank,,,,,,
248,,,,,Aspen Federal Credit Union,,,,,NA-00,,,,Asian Bank,,,,,,
249,,,,,Aspire Bank,,,,,NC-,,,,Aspen Federal Credit Union,,,,,,
250,,,,,Aspire Community FCU,,,,,NC-01,,,,Aspire Bank,,,,,,
251,,,,,Assemblies of God CU,,,,,NC-02,,,,Aspire Community FCU,,,,,,
252,,,,,"Associated Bank, National Association",,,,,NC-03,,,,Assemblies of God CU,,,,,,
253,,,,,Associated CU of Texas,,,,,NC-04,,,,"Associated Bank, National Association",,,,,,
254,,,,,Astera CU,,,,,NC-05,,,,Associated CU of Texas,,,,,,
255,,,,,Astra Bank,,,,,NC-06,,,,Astera CU,,,,,,
256,,,,,Athol Savings Bank,,,,,NC-07,,,,Astra Bank,,,,,,
257,,,,,Atkins Savings Bank & Trust,,,,,NC-08,,,,Athol Savings Bank,,,,,,
258,,,,,Atlantic City FCU,,,,,NC-09,,,,Atkins Savings Bank & Trust,,,,,,
259,,,,,Atlantic Regional FCU,,,,,NC-10,,,,Atlantic City FCU,,,,,,
260,,,,,Atlantic Union Bank,,,,,NC-11,,,,Atlantic Regional FCU,,,,,,
261,,,,,Atomic CU Inc,,,,,NC-12,,,,Atlantic Union Bank,,,,,,
262,,,,,Auburn Banking Company,,,,,NC-13,,,,Atomic CU Inc,,,,,,
263,,,,,"Auburn Savings Bank, FSB",,,,,NC-14,,,,Auburn Banking Company,,,,,,
264,,,,,Auburn State Bank,,,,,ND-,,,,"Auburn Savings Bank, FSB",,,,,,
265,,,,,Auburn University CU,,,,,ND-07,,,,Auburn State Bank,,,,,,
266,,,,,AuburnBank,,,,,NE-01,,,,Auburn University CU,,,,,,
267,,,,,Audubon State Bank,,,,,NE-02,,,,AuburnBank,,,,,,
268,,,,,Aurgroup Financial CU,,,,,NE-03,,,,Audubon State Bank,,,,,,
269,,,,,"Austin Bank, Texas National Association",,,,,NH-01,,,,Aurgroup Financial CU,,,,,,
270,,,,,Austin County State Bank,,,,,NH-02,,,,"Austin Bank, Texas National Association",,,,,,
271,,,,,Avadian CU,,,,,NJ-,,,,Austin County State Bank,,,,,,
272,,,,,Availa Bank,,,,,NJ-01,,,,Avadian CU,,,,,,
273,,,,,Avidbank,,,,,NJ-02,,,,Availa Bank,,,,,,
274,,,,,Avidia Bank,,,,,NJ-03,,,,Avidbank,,,,,,
275,,,,,Awakon FCU,,,,,NJ-04,,,,Avidia Bank,,,,,,
276,,,,,"Axiom Bank, National Association",,,,,NJ-05,,,,Awakon FCU,,,,,,
277,,,,,Axos Bank,,,,,NJ-06,,,,"Axiom Bank, National Association",,,,,,
278,,,,,Azalea City CU,,,,,NJ-07,,,,Axos Bank,,,,,,
279,,,,,B2 Bank National Association,,,,,NJ-08,,,,Azalea City CU,,,,,,
280,,,,,B:Side Capital,,,,,NJ-09,,,,B2 Bank National Association,,,,,,
281,,,,,BAC Community Bank,,,,,NJ-10,,,,B:Side Capital,,,,,,
282,,,,,BANK,,,,,NJ-11,,,,BAC Community Bank,,,,,,
283,,,,,BANK 21,,,,,NJ-12,,,,BANK,,,,,,
284,,,,,BANK360,,,,,NM-01,,,,BANK 21,,,,,,
285,,,,,BANKWEST,,,,,NM-02,,,,BANK360,,,,,,
286,,,,,BANKWEST of Kansas,,,,,NM-03,,,,BANKWEST,,,,,,
