Cat_Code,SBAOfficeCode_cat,ProcessingMethod_cat,LoanStatus_cat,Term_cat,ServicingLenderName_cat,RuralUrbanIndicator_cat,HubzoneIndicator_cat,LMIIndicator_cat,BusinessAgeDescription_cat,CD_cat,Race_cat,Ethnicity_cat,BusinessType_cat,OriginatingLender_cat,Gender_cat,Veteran_cat,NonProfit_cat,NAICSCode_2digits_cat,Verified_Address_cat,CaseLabel_cat
3888,,,,,The First National Bank of Bastrop,,,,,,,,,The First National Bank in Creston,,,,,,
3889,,,,,The First National Bank of Beardstown,,,,,,,,,The First National Bank in Falfurrias,,,,,,
3890,,,,,The First National Bank of Bellville,,,,,,,,,The First National Bank in Marlow,,,,,,
3891,,,,,The First National Bank of Bemidji,,,,,,,,,The First National Bank in Sioux Falls,,,,,,
3892,,,,,The First National Bank of Brooksville,,,,,,,,,The First National Bank in Tremont,,,,,,
3893,,,,,The First National Bank of Brownstown,,,,,,,,,The First National Bank in Trinidad,,,,,,
3894,,,,,The First National Bank of Carmi,,,,,,,,,The First National Bank of Absecon,,,,,,
3895,,,,,The First National Bank of Cokato,,,,,,,,,The First National Bank of Allendale,,,,,,
3896,,,,,The First National Bank of Coleraine,,,,,,,,,The First National Bank of Arenzville,,,,,,
3897,,,,,The First National Bank of Dennison,,,,,,,,,The First National Bank of Aspermont,,,,,,
3898,,,,,The First National Bank of Dighton,,,,,,,,,The First National Bank of Assumption,,,,,,
3899,,,,,The First National Bank of Dozier,,,,,,,,,The First National Bank of Ava,,,,,,
3900,,,,,The First National Bank of Dryden,,,,,,,,,The First National Bank of Bagley,,,,,,
3901,,,,,The First National Bank of Eagle Lake,,,,,,,,,The First National Bank of Ballinger,,,,,,
3902,,,,,The First National Bank of East Texas,,,,,,,,,The First National Bank of Bangor,,,,,,
3903,,,,,The First National Bank of Eldorado,,,,,,,,,The First National Bank of Bastrop,,,,,,
3904,,,,,The First National Bank of Elmer,,,,,,,,,The First National Bank of Beardstown,,,,,,
3905,,,,,The First National Bank of Ely,,,,,,,,,The First National Bank of Bellville,,,,,,
3906,,,,,The First National Bank of Evant,,,,,,,,,The First National Bank of Bemidji,,,,,,
3907,,,,,The First National Bank of Fairfax,,,,,,,,,The First National Bank of Brooksville,,,,,,
3908,,,,,The First National Bank of Fleming,,,,,,,,,The First National Bank of Brownstown,,,,,,
3909,,,,,The First National Bank of Fletcher,,,,,,,,,The First National Bank of Carmi,,,,,,
3910,,,,,The First National Bank of Fort Smith,,,,,,,,,The First National Bank of Cokato,,,,,,
3911,,,,,The First National Bank of Frederick,,,,,,,,,The First National Bank of Coleraine,,,,,,
3912,,,,,The First National Bank of Germantown,,,,,,,,,The First National Bank of Dennison,,,,,,
3913,,,,,The First National Bank of Gilbert,,,,,,,,,The First National Bank of Dighton,,,,,,
3914,,,,,The First National Bank of Gordon,,,,,,,,,The First National Bank of Dozier,,,,,,
3915,,,,,The First National Bank of Granbury,,,,,,,,,The First National Bank of Dryden,,,,,,
3916,,,,,The First National Bank of Grayson,,,,,,,,,The First National Bank of Eagle Lake,,,,,,
3917,,,,,The First National Bank of Groton,,,,,,,,,The First National Bank of East Texas,,,,,,
3918,,,,,The First National Bank of Hartford,,,,,,,,,The First National Bank of Eldorado,,,,,,
3919,,,,,The First National Bank of Harveyville,,,,,,,,,The First National Bank of Elmer,,,,,,
3920,,,,,The First National Bank of Hebbronville,,,,,,,,,The First National Bank of Ely,,,,,,
3921,,,,,The First National Bank of Henning,,,,,,,,,The First National Bank of Evant,,,,,,
3922,,,,,The First National Bank of Hooker,,,,,,,,,The First National Bank of Fairfax,,,,,,
3923,,,,,The First National Bank of Hope,,,,,,,,,The First National Bank of Fleming,,,,,,
3924,,,,,The First National Bank of Hughes Springs,,,,,,,,,The First National Bank of Fletcher,,,,,,
3925,,,,,The First National Bank of Hugo,,,,,,,,,The First National Bank of Fort Smith,,,,,,
3926,,,,,The First National Bank of Hutchinson,,,,,,,,,The First National Bank of Frederick,,,,,,
3927,,,,,The First National Bank of Jeanerette,,,,,,,,,The First National Bank of Germantown,,,,,,
3928,,,,,The First National Bank of Johnson,,,,,,,,,The First National Bank of Gilbert,,,,,,
3929,,,,,The First National Bank of Lawrence County at Walnut Ridge,,,,,,,,,The First National Bank of Gordon,,,,,,
3930,,,,,The First National Bank of Le Center,,,,,,,,,The First National Bank of Granbury,,,,,,
3931,,,,,The First National Bank of Lindsay,,,,,,,,,The First National Bank of Grayson,,,,,,
3932,,,,,The First National Bank of Litchfield,,,,,,,,,The First National Bank of Groton,,,,,,
3933,,,,,The First National Bank of Livingston,,,,,,,,,The First National Bank of Hartford,,,,,,
3934,,,,,The First National Bank of Long Island,,,,,,,,,The First National Bank of Harveyville,,,,,,
3935,,,,,The First National Bank of Louisburg,,,,,,,,,The First National Bank of Hebbronville,,,,,,
3936,,,,,The First National Bank of Manchester,,,,,,,,,The First National Bank of Henning,,,,,,
3937,,,,,The First National Bank of Manning,,,,,,,,,The First National Bank of Hooker,,,,,,
3938,,,,,The First National Bank of McConnelsville,,,,,,,,,The First National Bank of Hope,,,,,,
3939,,,,,The First National Bank of McGregor d/b/a TFNB Your Bank for Life,,,,,,,,,The First National Bank of Hughes Springs,,,,,,
3940,,,,,The First National Bank of McIntosh,,,,,,,,,The First National Bank of Hugo,,,,,,
